ean,product_id,manufacturer,article_type,provider,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
1101061556514,97283,Hifly,Reifen,provider 17,155,65,R,14,75,T,HF 201 ,,,,,,,
1101072156515,96561,Hifly,Reifen,provider 17,215,65,R,15,96,H,HF 201 ,,,,,,,
1101082156516,96560,Hifly,Reifen,provider 17,215,65,R,16,98,H,HF 201 ,,,,,,,
1740501900124,259208,Event,Reifen,provider 17,185,50,R,16,81,V,Futurum HP ,,,,,,,
1740502000113,259237,Event,Reifen,provider 17,155,80,R,13,79,T,Futurum GP ,,,,,,,
1740502200025,259218,Event,Reifen,provider 17,205,50,R,16,91,W,Potentem UHP XL,,,,,,,
1740502200087,259219,Event,Reifen,provider 17,225,40,R,18,92,W,Potentem UHP XL,,,,,,,
1740502200100,259233,Event,Reifen,provider 17,265,30,R,19,93,W,Potentem UHP XL,,,,,,,
1740502200124,259216,Event,Reifen,provider 17,225,55,R,17,101,W,Potentem UHP XL,,,,,,,
1740502200155,259221,Event,Reifen,provider 17,235,40,R,18,95,W,Potentem UHP XL,,,,,,,
1740502200162,259212,Event,Reifen,provider 17,245,40,R,18,97,W,Potentem UHP XL,,,,,,,
1740502200186,259223,Event,Reifen,provider 17,245,35,R,19,93,W,Potentem UHP XL,,,,,,,
1740502200247,259231,Event,Reifen,provider 17,235,50,R,18,101,W,Potentem UHP XL,,,,,,,
1740502200261,259220,Event,Reifen,provider 17,235,45,R,17,97,W,Potentem UHP XL,,,,,,,
1740502200278,259224,Event,Reifen,provider 17,235,45,R,18,98,W,Potentem UHP XL,,,,,,,
1740502200339,259232,Event,Reifen,provider 17,245,40,R,19,98,W,Potentem UHP XL,,,,,,,
1740502200346,259240,Event,Reifen,provider 17,255,40,R,19,100,W,Potentem UHP XL,,,,,,,
1740502200377,259222,Event,Reifen,provider 17,235,35,R,19,91,W,Potentem UHP XL,,,,,,,
1740502200384,259214,Event,Reifen,provider 17,255,35,R,19,96,W,Potentem UHP XL,,,,,,,
2000000616520,384650,Pirelli,Reifen,provider 17,265,45,R,18,101,V,W 240 Sottozero S2 (N0) DOT15,,,,,,,
2000000895345,523983,Kumho,Reifen,provider 17,255,55,R,19,111,V,Crugen HP91 XL DOT17,,,,,,,
2000000896274,507886,Falken,Reifen,provider 17,255,60,R,18,112,W,Azenis FK453CC XL DOT17,,,,,,,
2000000976860,614346,Michelin,Reifen,provider 17,265,45,R,19,105,V,Pilot Alpin PA 4 XL N0 DOT18 3PMSF,,,,,,,
2000000976907,614395,Hankook,Reifen,provider 17,275,40,R,21,107,T,Winter I*CEPT X (RW10) XL DOT18 3PMSF,,,,,,,
2000000976945,614379,Pirelli,Reifen,provider 17,215,45,R,20,95,W,Winter Sottozero 3 XL DOT18 3PMSF,,,,,,,
2000000976952,614387,Pirelli,Reifen,provider 17,255,40,R,22,103,H,Scorpion Winter DOT18 J XL 3PMSF,,,,,,,
2000000977096,614337,Michelin,Reifen,provider 17,245,55,R,17,102,V,Pilot Alpin PA 4 DOT18 3PMSF,,,,,,,
