ean,product_id,manufacturer,article_type,source_file,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
3188649811151,ART002593,DUNLOP,REIFEN,03.csv,,175,,15,84,H,,,03,,,,,,
3188649813858,ART002878,DUNLOP,REIFEN,03.csv,,235,,16,115,R,,,03,,,,,,
3188649815197,ART003303,DUNLOP,REIFEN,03.csv,,245,,18,104,V,,,03,,,,,,
3188649817955,ART003021,DUNLOP,REIFEN,03.csv,,195,,16,87,T,,,03,,,,,,
3188649818570,ART003032,DUNLOP,REIFEN,03.csv,,185,,14,82,H,,,03,,,,,,
3188649818587,ART003034,DUNLOP,REIFEN,03.csv,,185,,15,88,H,,,03,,,,,,
3188649818662,ART003041,DUNLOP,REIFEN,03.csv,,195,,15,85,H,,,03,,,,,,
3188649818679,ART003042,DUNLOP,REIFEN,03.csv,,195,,15,85,V,,,03,,,,,,
3188649818723,ART003028,DUNLOP,REIFEN,03.csv,,195,,15,95,H,,,03,,,,,,
3188649819225,ART003027,DUNLOP,REIFEN,03.csv,,195,,15,91,H,,,03,,,,,,
3188649819256,ART003044,DUNLOP,REIFEN,03.csv,,205,,16,91,V,,,03,,,,,,
3188649819263,ART003045,DUNLOP,REIFEN,03.csv,,205,,16,91,W,,,03,,,,,,
3188649819287,ART003046,DUNLOP,REIFEN,03.csv,,215,,16,93,V,,,03,,,,,,
3188649819324,ART003017,DUNLOP,REIFEN,03.csv,,215,,17,91,Y,,,03,,,,,,
3188649820504,ART003310,DUNLOP,REIFEN,03.csv,,195,,15,91,T,,,03,,,,,,
3188649821730,ART003023,DUNLOP,REIFEN,03.csv,,215,,18,95,H,,,03,,,,,,
3188649821808,ART003687,DUNLOP,REIFEN,03.csv,,205,,17,88,W,,,03,,,,,,
3286340296113,ART039232,BRIDGESTONE,REIFEN,03.csv,,245,,17,95,W,,,03,,,,,,
3286340451918,ART002257,BRIDGESTONE,REIFEN,03.csv,,185,,16,86,H,,,03,,,,,,
3286340535519,ART006261,BRIDGESTONE,REIFEN,03.csv,,245,,20,95,Y,,,03,,,,,,
3286340618618,ART003999,BRIDGESTONE,REIFEN,03.csv,,225,,17,94,H,,,03,,,,,,
3286340646918,ART005627,BRIDGESTONE,REIFEN,03.csv,,245,,19,93,Y,,,03,,,,,,
3286340655613,ART003791,BRIDGESTONE,REIFEN,03.csv,,245,,16,111,S,,,03,,,,,,
3286340767118,ART005634,BRIDGESTONE,REIFEN,03.csv,,225,,18,95,H,,,03,,,,,,
3286340786119,ART005884,BRIDGESTONE,REIFEN,03.csv,,185,,16,81,H,,,03,,,,,,
3286340874816,ART009136,BRIDGESTONE,REIFEN,03.csv,,205,,17,84,V,,,03,,,,,,
3286340878913,ART039350,BRIDGESTONE,REIFEN,03.csv,,205,,17,84,W,,,03,,,,,,
3286340890410,ART010723,BRIDGESTONE,REIFEN,03.csv,,195,,15,91,H,,,03,,,,,,
3286340925914,ART006731,BRIDGESTONE,REIFEN,03.csv,,175,,19,86,Q,,,03,,,,,,
3286340936316,ART011363,BRIDGESTONE,REIFEN,03.csv,,225,,19,93,W,,,03,,,,,,
3286340936811,ART039628,BRIDGESTONE,REIFEN,03.csv,,235,,20,96,H,,,03,,,,,,
3286340990417,ART011791,BRIDGESTONE,REIFEN,03.csv,,245,,19,98,Y,,,03,,,,,,
3286340998819,ART009432,BRIDGESTONE,REIFEN,03.csv,,225,,18,104,H,,,03,,,,,,
3286340998918,ART009435,BRIDGESTONE,REIFEN,03.csv,,245,,19,105,V,,,03,,,,,,
3286340999014,ART009436,BRIDGESTONE,REIFEN,03.csv,,225,,18,104,H,,,03,,,,,,
3286341003017,ART014868,BRIDGESTONE,REIFEN,03.csv,,225,,18,92,V,,,03,,,,,,
3286341003314,ART008794,BRIDGESTONE,REIFEN,03.csv,,245,,18,100,H,,,03,,,,,,
3286341005615,ART015568,BRIDGESTONE,REIFEN,03.csv,,225,,17,102,V,,,03,,,,,,
3286341006315,ART013196,BRIDGESTONE,REIFEN,03.csv,,275,,21,103,Y,,,03,,,,,,
3286341043518,ART011368,BRIDGESTONE,REIFEN,03.csv,,225,,18,91,W,,,03,,,,,,
3286341087512,ART010746,BRIDGESTONE,REIFEN,03.csv,,195,,15,85,V,,,03,,,,,,
3286341374612,ART013597,BRIDGESTONE,REIFEN,03.csv,,205,,16,94,W,,,03,,,,,,
3286341388411,ART017945,BRIDGESTONE,REIFEN,03.csv,,235,,19,101,V,,,03,,,,,,
3286341390414,ART013614,BRIDGESTONE,REIFEN,03.csv,,245,,18,97,Y,,,03,,,,,,
3286341397710,ART014872,BRIDGESTONE,REIFEN,03.csv,,225,,17,91,H,,,03,,,,,,
3286341401219,ART012183,BRIDGESTONE,REIFEN,03.csv,,225,,19,92,W,,,03,,,,,,
3286341503616,ART014884,BRIDGESTONE,REIFEN,03.csv,,225,,17,106,H,,,03,,,,,,
3286341506914,ART014894,BRIDGESTONE,REIFEN,03.csv,,255,,18,112,V,,,03,,,,,,
3286341507317,ART014896,BRIDGESTONE,REIFEN,03.csv,,235,,18,110,H,,,03,,,,,,
3286341513615,ART039740,BRIDGESTONE,REIFEN,03.csv,,275,,22,107,V,,,03,,,,,,
3286341516517,ART014908,BRIDGESTONE,REIFEN,03.csv,,175,,14,88,T,,,03,,,,,,
3286341516814,ART014911,BRIDGESTONE,REIFEN,03.csv,,185,,15,84,T,,,03,,,,,,
3286341517217,ART014913,BRIDGESTONE,REIFEN,03.csv,,175,,15,88,T,,,03,,,,,,
3286341517316,ART014914,BRIDGESTONE,REIFEN,03.csv,,185,,15,88,T,,,03,,,,,,
3286341530117,ART014922,BRIDGESTONE,REIFEN,03.csv,,195,,16,87,H,,,03,,,,,,
3286341531015,ART014929,BRIDGESTONE,REIFEN,03.csv,,205,,16,96,H,,,03,,,,,,
3286341531411,ART014932,BRIDGESTONE,REIFEN,03.csv,,205,,17,88,V,,,03,,,,,,
3286341533712,ART014950,BRIDGESTONE,REIFEN,03.csv,,215,,18,93,V,,,03,,,,,,
3286341535419,ART019202,BRIDGESTONE,REIFEN,03.csv,,235,,19,99,V,,,03,,,,,,
3286341535716,ART014958,BRIDGESTONE,REIFEN,03.csv,,245,,20,95,W,,,03,,,,,,
3286341535815,ART014959,BRIDGESTONE,REIFEN,03.csv,,255,,20,97,W,,,03,,,,,,
3286341536010,ART014960,BRIDGESTONE,REIFEN,03.csv,,195,,20,95,H,,,03,,,,,,
3286341657517,ART039701,BRIDGESTONE,REIFEN,03.csv,,225,,17,94,Y,,,03,,,,,,
3286341671711,ART019207,BRIDGESTONE,REIFEN,03.csv,,225,,18,95,V,,,03,,,,,,
3286341672411,ART013664,FIRESTONE,REIFEN,03.csv,,205,,17,93,V,,,03,,,,,,
3286341672619,ART031231,FIRESTONE,REIFEN,03.csv,,165,,15,81,H,,,03,,,,,,
3286341672718,ART013665,FIRESTONE,REIFEN,03.csv,,195,,16,89,H,,,03,,,,,,
3286341673012,ART013666,FIRESTONE,REIFEN,03.csv,,195,,16,91,H,,,03,,,,,,
3286341673111,ART031233,FIRESTONE,REIFEN,03.csv,,175,,14,86,T,,,03,,,,,,
3286341673319,ART013668,FIRESTONE,REIFEN,03.csv,,185,,15,88,H,,,03,,,,,,
3286341673418,ART013669,FIRESTONE,REIFEN,03.csv,,205,,16,91,H,,,03,,,,,,
3286341673517,ART031234,FIRESTONE,REIFEN,03.csv,,215,,16,97,V,,,03,,,,,,
3286341673616,ART013670,FIRESTONE,REIFEN,03.csv,,205,,16,94,V,,,03,,,,,,
3286341673814,ART013671,FIRESTONE,REIFEN,03.csv,,195,,15,88,H,,,03,,,,,,
3286341673913,ART013672,FIRESTONE,REIFEN,03.csv,,185,,15,92,H,,,03,,,,,,
3286341674019,ART013673,FIRESTONE,REIFEN,03.csv,,225,,17,99,V,,,03,,,,,,
3286341674217,ART031236,FIRESTONE,REIFEN,03.csv,,195,,15,86,H,,,03,,,,,,
3286341674316,ART013675,FIRESTONE,REIFEN,03.csv,,185,,14,86,H,,,03,,,,,,
3286341674514,ART031237,FIRESTONE,REIFEN,03.csv,,165,,14,83,T,,,03,,,,,,
3286341674712,ART031238,FIRESTONE,REIFEN,03.csv,,195,,16,84,V,,,03,,,,,,
3286341674910,ART013676,FIRESTONE,REIFEN,03.csv,,225,,17,94,V,,,03,,,,,,
3286341675016,ART031240,FIRESTONE,REIFEN,03.csv,,185,,15,86,H,,,03,,,,,,
3286341675115,ART013677,FIRESTONE,REIFEN,03.csv,,195,,16,91,V,,,03,,,,,,
3286341675214,ART013678,FIRESTONE,REIFEN,03.csv,,225,,17,101,W,,,03,,,,,,
3286341675313,ART031241,FIRESTONE,REIFEN,03.csv,,215,,17,98,W,,,03,,,,,,
3286341675412,ART031242,FIRESTONE,REIFEN,03.csv,,185,,15,92,T,,,03,,,,,,
3286341675511,ART031243,FIRESTONE,REIFEN,03.csv,,225,,18,92,Y,,,03,,,,,,
3286341675610,ART031244,FIRESTONE,REIFEN,03.csv,,225,,17,98,V,,,03,,,,,,
3286341675719,ART013679,FIRESTONE,REIFEN,03.csv,,215,,17,95,W,,,03,,,,,,
3286341675917,ART013681,FIRESTONE,REIFEN,03.csv,,175,,15,88,H,,,03,,,,,,
3286341676013,ART031245,FIRESTONE,REIFEN,03.csv,,175,,14,88,T,,,03,,,,,,
3286341676112,ART031246,FIRESTONE,REIFEN,03.csv,,185,,14,90,H,,,03,,,,,,
3286341676211,ART031247,FIRESTONE,REIFEN,03.csv,,205,,17,95,V,,,03,,,,,,
3286341676716,ART013682,FIRESTONE,REIFEN,03.csv,,225,,17,102,H,,,03,,,,,,
3286341676815,ART031251,FIRESTONE,REIFEN,03.csv,,215,,17,100,V,,,03,,,,,,
3286341676914,ART013683,FIRESTONE,REIFEN,03.csv,,235,,17,108,V,,,03,,,,,,
3286341677119,ART031252,FIRESTONE,REIFEN,03.csv,,235,,18,107,V,,,03,,,,,,
3286341677218,ART013685,FIRESTONE,REIFEN,03.csv,,215,,16,102,V,,,03,,,,,,
3286341677317,ART013686,FIRESTONE,REIFEN,03.csv,,235,,17,103,V,,,03,,,,,,
3286341764215,ART017966,BRIDGESTONE,REIFEN,03.csv,,225,,18,95,W,,,03,,,,,,
3286341770513,ART014972,BRIDGESTONE,REIFEN,03.csv,,185,,15,86,H,,,03,,,,,,
3286341801118,ART019240,FIRESTONE,REIFEN,03.csv,,255,,19,107,V,,,03,,,,,,
3286341801613,ART019243,FIRESTONE,REIFEN,03.csv,,215,,16,102,H,,,03,,,,,,
3286341803716,ART019252,FIRESTONE,REIFEN,03.csv,,185,,15,88,T,,,03,,,,,,
3286341803914,ART019253,FIRESTONE,REIFEN,03.csv,,205,,16,91,T,,,03,,,,,,
3286341804713,ART019258,FIRESTONE,REIFEN,03.csv,,185,,15,92,T,,,03,,,,,,
3286341805116,ART019261,FIRESTONE,REIFEN,03.csv,,195,,15,85,H,,,03,,,,,,
3286341805215,ART019262,FIRESTONE,REIFEN,03.csv,,235,,17,103,V,,,03,,,,,,
3286341805918,ART031289,FIRESTONE,REIFEN,03.csv,,235,,17,97,V,,,03,,,,,,
3286341806113,ART019268,FIRESTONE,REIFEN,03.csv,,205,,16,92,H,,,03,,,,,,
3286341806311,ART031290,FIRESTONE,REIFEN,03.csv,,245,,18,97,V,,,03,,,,,,
3286341806410,ART019270,FIRESTONE,REIFEN,03.csv,,225,,17,94,V,,,03,,,,,,
3286341806816,ART019273,FIRESTONE,REIFEN,03.csv,,215,,18,99,V,,,03,,,,,,
3286341807912,ART019281,FIRESTONE,REIFEN,03.csv,,245,,17,99,V,,,03,,,,,,
3286341808216,ART031292,FIRESTONE,REIFEN,03.csv,,255,,19,100,V,,,03,,,,,,
3286341809114,ART019291,FIRESTONE,REIFEN,03.csv,,215,,17,95,V,,,03,,,,,,
3286341809312,ART031294,FIRESTONE,REIFEN,03.csv,,255,,19,96,V,,,03,,,,,,
