No header
3528701233574;123357;"MICHELIN      16.00 R20 173G TL M+S";MICHELIN;1;2314.00;M+S;N;N
4019238199147;0414065000;"CONTINENTAL   205/70 R15 124/122K TT 14 PR";CONTINENTAL;1;263.00;;N;N
4019238221329;0571307000;"CONTINENTAL   305/70 R22.5 152/148L TL 18 PR";CONTINENTAL;2;404.00;;N;N
3528704705139;470513;"MICHELIN      245/70 R19.5 141/140J TL";MICHELIN;4;334.00;;N;N
3528704052608;405260;"MICHELIN-RE   385/65 R22.5 160J TL M+S";MICHELIN-RE;5;391.00;M+S;J;N
3528709521536;952153;"MICHELIN      385/65 R22.5 160K TL 20 PR M+S";MICHELIN;6;558.00;M+S;J;N
8808563132136;3000143;"HANKOOK       13 R22.5 154/150K TL 18 PR M+S";HANKOOK;7;414.00;M+S;N;N
3528701105765;110576;"MICHELIN      275/70 R22.5 148/145L TL M+S";MICHELIN;1;517.00;M+S;J;N
4038526260000;560670;"DUNLOP        315/80 R22.5 156/150K TL 18 PR M+S";DUNLOP;4;385.00;M+S;N;N
4038526204349;604233;"DUNLOP 365/80R20MPT SP T9 TL 152K/168A2";DUNLOP;7;488.00;M+S;N;N
4038526206527;604274;"DUNLOP 405/70R24MPT SP T9";DUNLOP;11;762.00;;N;N
5420005504122;602837;"DUNLOP 455/70R24  154G/174A2 TL";DUNLOP;1;964.00;;N;N
5420005503996;602493;"*DUNLOP 365/70R18EM SP T9 146A2/135B";DUNLOP;20;380.00;M+S;N;N
5420005504030;602498;"DUNLOP 405/70R18 SP T9 153A2/141B";DUNLOP;20;508.00;M+S;N;N
5420005503989;602492;"*DUNLOP 335/80R20EM SP T9 147A2/136B";DUNLOP;2;395.00;M+S;N;N
5420005504009;602494;"*DUNLOP 365/80R20EM SP T9 153A2/141B";DUNLOP;20;445.00;M+S;N;N
5420005504054;602500;"*DUNLOP 405/70R20 155A2/143B TL";DUNLOP;20;541.00;M+S;N;N
5420005504108;602507;"DUNLOP 455/70R20EM SP T9 162A2/150B";DUNLOP;12;852.00;M+S;N;N
5420005500285;603548;"DUNLOP 11.00R20EM PG21RC 157A3 TT";DUNLOP;4;558.00;;N;N
5420005504085;602505;"DUNLOP 405/70R24EM SP T9 158A2/146B";DUNLOP;11;733.00;M+S;N;N
5420005504115;602836;"DUNLOP 455/70R24  165A2/154B TL";DUNLOP;10;927.00;M+S;N;N
4019238327861;0571263000;"CONTINENTAL   10 R22.5 144/142K TL 14 PR";CONTINENTAL;8;405.00;;N;N
3528708970960;897096;"MICHELIN      265/70 R19.5 143/141J TL M+S";MICHELIN;3;365.00;M+S;J;N
3528700252156;025215;"MICHELIN      275/70 R22.5 148/145J TL 18 PR M+S";MICHELIN;4;462.00;M+S;J;N
4050496478575;05702030000;"*MATADOR      11 R22.5 148L TL 16 PR";MATADOR;1;305.00;;N;N
4019238129007;0574156000;"CONTINENTAL 12.5R20  MPT-80   139J TL";CONTINENTAL;18;385.00;M+S;N;N
4019238129045;0574185000;"CONTINEN 14.5  R20  MPT-80   132J TL";CONTINENTAL;17;431.00;M+S;N;N
